name,link
Adrian College,https://adrianbulldogs.com/sports/mens-soccer/roster
Albertus Magnus College,https://www.albertusfalcons.com/sports/msoc/2024-25/roster
Albion College,https://gobrits.com/sports/mens-soccer/roster
Albright College,https://albrightathletics.com/sports/mens-soccer/roster
Alfred State College,https://alfredstateathletics.com/sports/mens-soccer/roster
Alfred University,https://gosaxons.com/sports/mens-soccer/roster
Allegheny College,https://alleghenygators.com/sports/mens-soccer/roster
Alma College,https://almascots.com/sports/mens-soccer/roster
Alvernia University,https://auwolves.com/sports/mens-soccer/roster
Amherst College,https://athletics.amherst.edu/sports/mens-soccer/roster
Anderson University – Indiana,https://athletics.anderson.edu/sports/msoc/2024-25/roster
Anna Maria College,https://www.goamcats.com/sports/msoc/2024-25/roster
Arcadia University,https://arcadiaknights.com/sports/mens-soccer/roster
Asbury University,https://asburyeagles.com/sports/mens-soccer/roster
Augsburg University,https://athletics.augsburg.edu/sports/mens-soccer/roster
Augustana College – Illinois,https://athletics.augustana.edu/sports/mens-soccer/roster
Aurora University,https://athletics.aurora.edu/sports/mens-soccer/roster
Austin College,https://acroos.com/sports/msoc/index
Averett University,https://averettcougars.com/sports/mens-soccer/roster
Babson College,https://babsonathletics.com/sports/mens-soccer/roster
Baldwin Wallace University,https://bwyellowjackets.com/sports/mens-soccer/roster
Bard College,https://bardathletics.com/sports/mens-soccer/roster
Bates College,https://gobatesbobcats.com/sports/mens-soccer/roster
Belhaven University,https://blazers.belhaven.edu/sports/mens-soccer/roster
Beloit College,https://beloitcollegeathletics.com/sports/mens-soccer/roster
Benedictine University,https://benueagles.com/sports/mens-soccer/roster
Berea College,https://bereaathletics.com/sports/mens-soccer/roster
Berry College,https://www.berryvikings.com/sports/mens-soccer/roster
Bethany College – West Virginia,https://www.bethanybison.com/sports/msoc/2023-24/roster
Bethany Lutheran College,https://blcvikings.com/sports/mens-soccer/roster
Bethel University – Minnesota,https://athletics.bethel.edu/sports/mens-soccer/roster
Blackburn College,https://www.blackburnbeavers.com/sports/msoc/2024-25/roster
Bluffton University,https://blufftonbeavers.com/sports/msoc/2024-25/roster
Bob Jones University,https://www.bjubruins.com/sports/mens-soccer/roster
Bowdoin College,https://athletics.bowdoin.edu/sports/mens-soccer/roster
Brandeis University,https://brandeisjudges.com/sports/mens-soccer/roster
Brevard College,https://bctornados.com/sports/mens-soccer/roster
Bridgewater College,https://bridgewatereagles.com/sports/mens-soccer/roster
Bridgewater State University,https://www.bsubears.com/sports/msoc/2024-25/roster
Bryn Athyn College,https://brynathynathletics.com/sports/mens-soccer/roster
Buena Vista University,https://bvuathletics.com/sports/mens-soccer/roster
Cairn University,https://www.cairnhighlanders.com/sports/mens-soccer/roster
California Institute of Technology,https://gocaltech.com/sports/mens-soccer/roster
California Lutheran University,https://clusports.com/sports/mens-soccer/roster
Calvin University,https://calvinknights.com/sports/mens-soccer/roster
Capital University,https://athletics.capital.edu/sports/mens-soccer/roster
Carleton College,https://athletics.carleton.edu/sports/mens-soccer/roster
Carlow University,https://athletics.carlow.edu/sports/msoc/2023-24/roster
Carnegie Mellon University,https://athletics.cmu.edu/sports/msoc/2024-25/roster
Carroll University,https://gopios.com/sports/mens-soccer/roster
Carthage College,https://athletics.carthage.edu/sports/mens-soccer/roster
Case Western Reserve University,https://athletics.case.edu/sports/mens-soccer/roster
Catholic University of America,https://catholicathletics.com/sports/mens-soccer/roster
Centenary College of Louisiana,https://www.gocentenary.com/sports/msoc/2024-25/roster
Centenary University – New Jersey,https://centenarycyclones.com/sports/mens-soccer/roster
Central College,https://athletics.central.edu/sports/mens-soccer/roster
Centre College,https://centrecolonels.com/sports/mens-soccer/roster
Chapman University,https://athletics.chapman.edu/sports/mens-soccer/roster
Chatham University,https://gochathamcougars.com/sports/mens-soccer/roster
Christopher Newport University,https://www.cnusports.com/sports/mens-soccer/roster/
Claremont-Mudd-Scripps Colleges,https://cmsathletics.org/sports/mens-soccer/roster
Clark University,https://clarkathletics.com/sports/mens-soccer/roster
Clarks Summit University,https://gocsudefenders.com/
Clarkson University,https://clarksonathletics.com/sports/mens-soccer/roster
Coe College,https://kohawkathletics.com/sports/mens-soccer/roster
Colby College,https://colbyathletics.com/sports/mens-soccer/roster
Colby-Sawyer College,https://www.colby-sawyerathletics.com/sports/mens-soccer/roster
College of Wooster,https://www.woosterathletics.com/sports/msoc/2024-25/roster
Colorado College,https://cctigers.com/sports/mens-soccer/roster
Concordia College – Minnesota,https://gocobbers.com/sports/msoc/2024-25/roster
Concordia University – Chicago,https://www.cucougars.com/sports/mens-soccer/roster
Concordia University – Texas,https://athletics.concordia.edu/sports/mens-soccer/roster
Concordia University Wisconsin,https://www.cuwfalcons.com/sports/msoc/2024-25/roster
Connecticut College,https://camelathletics.com/sports/mens-soccer/roster
Cornell College,https://cornellrams.com/sports/mens-soccer/roster
Covenant College,https://athletics.covenant.edu/sports/mens-soccer/roster
Crown College,https://athletics.crown.edu/sports/mens-soccer/roster
Curry College,https://www.curryathletics.com/sports/msoc/2024-25/roster
Dean College,https://deanbulldogs.com/sports/mens-soccer/roster
Delaware Valley University,https://athletics.delval.edu/sports/mens-soccer/roster
Denison University,https://denisonbigred.com/sports/mens-soccer/roster
DePauw University,https://depauwtigers.com/sports/mens-soccer/roster
DeSales University,https://athletics.desales.edu/sports/mens-soccer/roster
Dickinson College,https://dickinsonathletics.com/sports/msoc/roster
Dominican University – Illinois,https://dustars.com/sports/mens-soccer/roster
Drew University,https://drewrangers.com/sports/mens-soccer/roster
Earlham College,https://goearlham.com/sports/mens-soccer/roster
East Texas Baptist University,https://goetbutigers.com/sports/mens-soccer/roster
Eastern Connecticut State University,https://gowarriorathletics.com/sports/mens-soccer/roster
Eastern Mennonite University,https://emuroyals.com/sports/mens-soccer/roster
Eastern Nazarene College,https://athletics.enc.edu/sports/msoc/2023-24/roster
Eastern University,https://goeasterneagles.com/sports/mens-soccer/roster
Edgewood College,https://edgewoodcollegeeagles.com/sports/mens-soccer/roster
Elizabethtown College,https://etownbluejays.com/sports/mens-soccer/roster
Elmhurst University,https://elmhurstbluejays.com/sports/mens-soccer/roster
Elmira College,https://athletics.elmira.edu/sports/mens-soccer/roster
Elms College,https://www.ecblazers.com/sports/msoc/2024-25/roster
Emerson College,https://emersonlions.com/sports/mens-soccer/roster
Emmanuel College – Massachusetts,https://goecsaints.com/sports/mens-soccer/roster
Emory University,https://emoryathletics.com/sports/mens-soccer/roster
Endicott College,https://www.ecgulls.com/sports/msoc/2024-25/roster
Eureka College,https://www.eurekareddevils.com/sports/msoc/2024-25/roster
Fairleigh Dickinson University – College at Florham,https://fdudevils.com/sports/mens-soccer/roster
Ferrum College,https://ferrumpanthers.com/sports/mens-soccer/roster/2024
Fitchburg State University,https://www.fitchburgfalcons.com/sports/msoc/2024-25/roster
Framingham State University,https://www.fsurams.com/sports/msoc/2024-25/roster
Franciscan University of Steubenville,https://franciscanathletics.com/sports/mens-soccer/roster
Franklin & Marshall College,https://godiplomats.com/sports/mens-soccer/roster
Franklin College,https://franklingrizzlies.com/sports/mens-soccer/roster
Gallaudet University,https://gallaudetbison.com/sports/mens-soccer/roster
Geneva College,https://athletics.geneva.edu/sports/mens-soccer/roster
George Fox University,https://athletics.georgefox.edu/sports/mens-soccer/roster
Gettysburg College,https://gettysburgsports.com/sports/mens-soccer/roster
Gordon College,https://athletics.gordon.edu/sports/mens-soccer/roster
Goucher College,https://athletics.goucher.edu/sports/msoc/2024-25/roster
Grace Christian University,https://gracetigers.com/sports/mens-soccer/roster/2024
Greensboro College,https://greensborocollegesports.com/sports/mens-soccer/roster
Greenville University,https://athletics.greenville.edu/sports/msoc/2024-25/roster
Grinnell College,https://pioneers.grinnell.edu/sports/mens-soccer/roster
Grove City College,https://athletics.gcc.edu/sports/mens-soccer/roster
Guilford College,https://guilfordquakers.com/sports/mens-soccer/roster
Gustavus Adolphus College,https://gogusties.com/sports/mens-soccer/roster
Gwynedd Mercy University,https://gwyneddathletics.com/sports/mens-soccer/roster
Hamilton College,https://athletics.hamilton.edu/sports/mens-soccer/roster
Hamline University,https://hamlineathletics.com/sports/mens-soccer/roster
Hampden-Sydney College,https://hscathletics.com/sports/mens-soccer/roster
Hanover College,https://athletics.hanover.edu/sports/mens-soccer/roster
Hardin-Simmons University,https://hsuathletics.com/sports/mens-soccer/roster
Hartwick College,https://www.hartwickhawks.com/sports/mens-soccer/roster
Haverford College,https://www.haverfordathletics.com/sports/msoc/2024-25/roster
Heidelberg University,https://bergathletics.com/sports/mens-soccer/roster
Hendrix College,https://hendrixwarriors.com/sports/mens-soccer/roster
Hilbert College,https://hilberthawks.com/sports/mens-soccer/roster
Hiram College,https://hiramterriers.com/sports/mens-soccer/roster
Hobart & William Smith College,https://hwsathletics.com/sports/mens-soccer/roster
Hood College,https://hoodathletics.com/sports/mens-soccer/roster
Hope College,https://athletics.hope.edu/sports/msoc/roster
Houghton University,https://athletics.houghton.edu/sports/mens-soccer/roster
Howard Payne University,https://hpusports.com/sports/mens-soccer/roster
Huntingdon College,https://www.huntingdonhawks.com/sports/msoc/2024-25/roster
Husson University,https://hussoneagles.com/sports/mens-soccer/roster
Illinois College,https://illinoiscollegeathletics.com/sports/mens-soccer/roster
Illinois Institute of Technology,https://illinoistechathletics.com/sports/mens-soccer/roster
Illinois Wesleyan University,https://www.iwusports.com/sports/mens-soccer/roster
Immaculata University,https://gomightymacs.com/sports/mens-soccer/roster
Ithaca College,https://athletics.ithaca.edu/sports/mens-soccer/roster
John Carroll University,https://jcusports.com/sports/mens-soccer/roster
Johns Hopkins University,https://hopkinssports.com/sports/mens-soccer/roster
Johnson & Wales University – Charlotte,https://charlotte.jwuathletics.com/sports/mens-soccer/roster
Johnson & Wales University – Providence,https://providence.jwuathletics.com/sports/mens-soccer/roster
Juniata College,https://www.juniatasports.net/sports/msoc/2024-25/roster
Kalamazoo College,https://hornets.kzoo.edu/sports/mens-soccer/roster
Kean University,https://keanathletics.com/sports/mens-soccer/roster
Keene State College,https://keeneowls.com/sports/mens-soccer/roster
Kenyon College,https://athletics.kenyon.edu/sports/mens-soccer/roster
Keuka College,https://keukaathletics.com/sports/mens-soccer/roster
Keystone College,https://www.gokcgiants.com/sports/mens-soccer/roster
King's College – Pennsylvania,https://kingscollegeathletics.com/sports/mens-soccer/roster
Knox College,https://prairiefire.knox.edu/sports/mens-soccer/roster
La Roche University,https://www.larochesports.com/sports/msoc/2024-25/roster
LaGrange College,https://lagrangepanthers.com/sports/mens-soccer/roster
Lake Forest College,https://goforesters.com/sports/mens-soccer/roster
Lakeland University,https://lakelandmuskies.com/sports/mens-soccer/roster
Lancaster Bible College,https://lbcchargers.com/sports/mens-soccer/roster
Lasell University,https://laserpride.lasell.edu/sports/msoc/2024-25/roster
Lawrence University,https://vikings.lawrence.edu/sports/msoc/roster
Lebanon Valley College,https://godutchmen.com/sports/mens-soccer/roster
Lesley University,https://lesleyathletics.com/sports/msoc/2024-25/roster
LeTourneau University,https://letuathletics.com/sports/mens-soccer/roster
Lewis & Clark College,https://lcpioneers.com/sports/mens-soccer/roster
Linfield University,https://golinfieldwildcats.com/sports/mens-soccer/roster
Loras College,https://duhawks.com/sports/mens-soccer/roster
Luther College,https://luthernorse.com/sports/mens-soccer/roster
Lycoming College,https://lycomingathletics.com/sports/mens-soccer/roster
Lyon College,https://lyonscots.com/sports/mens-soccer/roster
Macalester College,https://athletics.macalester.edu/sports/mens-soccer/roster
Maine Maritime Academy,https://marinersports.org/sports/mens-soccer/roster
Manchester University,https://muspartans.com/sports/mens-soccer/roster
Manhattan Christian College,https://mccthunder.com/sports/mens-soccer/roster
Manhattanville College,https://govaliants.com/sports/mens-soccer/roster
Maranatha Baptist University,https://mbusabercats.com/sports/mens-soccer/roster
Marian University – Wisconsin,https://sabreathletics.com/sports/mens-soccer/roster
Marietta College,https://pioneers.marietta.edu/sports/mens-soccer/roster
Martin Luther College,https://mlcknights.com/sports/mens-soccer/roster
Mary Baldwin University,https://marybaldwinathletics.com/sports/mens-soccer/roster
Marymount University (VA),https://marymountsaints.com/sports/mens-soccer/roster
